date,Karachi,Hyderabad,Sukkur,Larkana,Quetta,Bahawalpur,Multan,Faisalabad,Lahore,Gujranwala,Sialkot,Rawalpindi,Islamabad,Peshawar,Muzaffarabad
1990-01-01,0.2,0.0,3.8,0.9,116.7,2.3,3.3,16.0,18.9,27.8,28.3,55.300000000000004,67.19999999999999,68.89999999999999,132.4
1990-02-01,14.5,4.9,22.3,21.400000000000002,113.4,60.300000000000004,42.6,58.3,74.7,89.9,119.10000000000001,142.6,177.7,66.5,242.70000000000002
1990-03-01,0.7,0.0,2.5,3.0999999999999996,28.6,4.1,11.3,85.3,86.5,299.7,312.1,198.4,217.5,138.0,269.3
1990-04-01,0.0,1.0,0.3,0.2,13.0,4.6000000000000005,7.1,7.800000000000001,17.8,35.9,39.7,64.4,81.6,46.8,171.20000000000002
1990-05-01,0.2,2.2,7.6000000000000005,11.5,0.5,3.5,8.4,25.700000000000003,17.9,8.799999999999999,8.0,12.1,13.3,11.8,23.5
1990-06-01,0.5,0.1,0.5,2.2,2.0,7.9,15.2,16.8,25.1,50.2,65.1,59.8,60.199999999999996,16.2,51.5
1990-07-01,1.2,10.0,19.1,2.3000000000000003,4.3,9.3,15.400000000000002,112.5,182.1,315.2,277.0,180.4,165.70000000000002,77.3,146.1
1990-08-01,55.699999999999996,156.9,61.1,87.7,39.4,49.2,98.4,184.3,237.7,241.9,296.7,258.4,179.3,195.5,266.4
1990-09-01,1.5,7.1,1.3,0.6000000000000001,3.2,24.400000000000002,20.0,83.10000000000001,119.89999999999999,169.1,179.5,132.2,94.0,95.7,39.8
1990-10-01,0.0,0.0,1.5,1.0,0.0,0.5,1.9,3.0,3.1,10.0,19.1,42.400000000000006,42.0,22.5,31.8
1990-11-01,0.0,0.2,0.0,0.1,8.7,1.3,1.6,12.5,15.9,18.1,12.7,6.0,3.6,9.299999999999999,12.4
1990-12-01,0.3,0.0,0.0,0.0,56.1,8.200000000000001,14.3,66.9,64.7,119.5,172.4,186.29999999999998,216.1,61.699999999999996,375.5
1991-01-01,1.7,1.0,1.2,0.8,85.4,2.6,2.5,5.5,4.8,8.100000000000001,7.8,28.0,45.1,17.400000000000002,81.4
1991-02-01,12.2,2.2,1.0,1.3,74.8,13.3,8.899999999999999,29.0,65.7,114.6,144.8,173.7,194.9,67.1,284.4
1991-03-01,1.6,0.3,0.1,0.4,98.4,4.1,20.900000000000002,42.3,54.4,102.2,145.1,196.6,202.6,110.3,274.6
1991-04-01,0.0,1.3,1.9000000000000001,1.2,42.3,25.900000000000002,30.8,68.1,76.3,150.1,173.8,208.2,225.29999999999998,234.9,227.1
1991-05-01,0.0,0.0,3.5,5.6,28.900000000000002,17.8,31.599999999999998,19.2,22.6,23.5,23.8,71.3,85.4,95.0,152.4
1991-06-01,0.0,0.5,2.0,2.4,16.299999999999997,4.5,19.9,36.4,79.8,101.20000000000002,66.3,86.0,73.10000000000001,47.4,28.0
1991-07-01,0.0,0.0,0.0,0.0,9.2,2.2,2.7,27.0,51.6,204.5,162.3,351.8,278.5,303.0,122.0
1991-08-01,0.7,0.1,2.4,0.9,1.5,13.8,37.5,60.5,141.3,294.9,352.9,214.9,162.7,174.3,130.0
1991-09-01,0.4,0.0,0.0,0.0,2.6,9.1,22.0,50.2,37.2,55.0,75.3,118.1,106.5,151.5,104.5
1991-10-01,0.0,0.0,0.0,0.0,0.0,0.8,1.1,5.5,4.6000000000000005,3.3,2.4,5.6,6.5,2.2,21.1
1991-11-01,0.5,0.0,0.7,0.2,8.2,0.8,3.3,5.2,2.2,15.200000000000001,7.3,2.7,2.7,5.3,5.8999999999999995
1991-12-01,0.3,0.0,7.3999999999999995,1.5999999999999999,26.4,9.5,11.1,24.700000000000003,19.900000000000002,40.3,57.0,34.5,37.6,20.7,52.300000000000004
1992-01-01,25.8,24.8,26.3,20.7,58.8,34.1,34.5,49.199999999999996,104.8,127.2,135.4,164.60000000000002,224.10000000000002,81.9,254.0
1992-02-01,1.9000000000000001,2.5,3.4000000000000004,3.1,71.4,10.4,13.700000000000001,31.1,26.6,45.2,48.3,80.9,99.4,73.8,202.5
1992-03-01,10.1,3.0,0.6,1.5,36.5,4.3,13.600000000000001,27.2,33.9,149.5,200.4,216.4,286.8,101.1,386.8
1992-04-01,1.8,0.0,6.6,4.4,80.2,7.7,14.899999999999999,40.900000000000006,31.8,36.7,34.3,55.5,74.3,103.10000000000001,103.9
1992-05-01,0.0,1.2000000000000002,3.6,4.5,15.899999999999999,7.8,8.6,7.3,21.9,36.0,34.199999999999996,27.400000000000002,52.6,28.9,123.60000000000001
1992-06-01,0.4,1.5,1.5,2.6999999999999997,0.2,1.7,5.3,35.3,33.8,42.2,20.2,24.5,24.7,13.4,26.3
1992-07-01,139.9,295.2,66.0,102.1,45.0,58.0,78.7,117.7,152.3,212.0,235.9,177.3,143.5,169.7,108.8
1992-08-01,92.1,95.0,94.7,70.7,49.0,68.5,94.3,120.10000000000001,102.2,185.4,187.2,355.2,262.5,242.5,200.8
1992-09-01,4.6,13.2,55.0,32.8,0.0,185.5,239.1,149.5,108.69999999999999,162.5,145.5,207.29999999999998,223.0,122.5,177.9
1992-10-01,0.0,0.0,0.1,0.0,20.3,1.1,0.6,4.7,3.0,6.4,8.299999999999999,31.799999999999997,52.4,109.69999999999999,50.0
1992-11-01,0.0,0.4,0.1,0.2,0.1,7.2,20.3,30.3,22.5,27.5,32.2,34.400000000000006,31.6,28.6,16.500000000000004
1992-12-01,0.0,0.0,0.0,0.0,49.5,0.0,0.4,11.3,7.699999999999999,24.2,15.9,26.400000000000002,34.6,26.499999999999996,75.8
1993-01-01,2.4,4.2,4.1,4.8,101.10000000000001,2.0999999999999996,2.2,10.9,12.2,30.5,40.3,48.9,50.2,11.299999999999999,133.0
1993-02-01,15.200000000000001,1.9000000000000001,0.0,0.7,28.6,4.5,3.1,6.8999999999999995,13.9,51.8,86.3,68.9,95.6,32.699999999999996,156.3
1993-03-01,1.0,0.0,0.0,0.4,57.1,2.8000000000000003,3.5999999999999996,22.6,45.199999999999996,165.5,222.8,197.20000000000002,251.4,156.3,327.2
1993-04-01,0.39999999999999997,1.8,3.4,4.9,18.900000000000002,8.7,16.3,33.1,34.3,56.5,37.4,99.7,75.39999999999999,75.8,42.4
1993-05-01,0.0,4.6,5.5,4.7,1.0,23.0,18.9,21.9,18.9,15.4,15.9,44.0,43.6,73.6,130.3
1993-06-01,0.9,0.0,2.8,1.4,0.7000000000000001,31.6,34.3,33.3,89.4,92.8,96.5,59.7,68.89999999999999,67.9,48.0
1993-07-01,9.200000000000001,56.599999999999994,61.1,54.199999999999996,28.3,47.9,92.8,191.9,302.59999999999997,400.7,458.7,264.6,239.4,204.6,199.8
1993-08-01,0.5,0.0,0.1,0.1,5.0,1.8000000000000003,1.5,32.2,59.7,145.1,105.4,52.8,31.5,57.2,30.0
1993-09-01,0.6000000000000001,3.1000000000000005,3.8,1.7000000000000002,1.1,21.8,73.8,77.5,93.60000000000001,88.1,74.60000000000001,42.5,51.2,44.3,96.7
1993-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,2.5,1.6,2.7,19.599999999999998,11.100000000000001,24.3,31.3
1993-11-01,36.0,21.2,6.8,18.5,0.2,0.0,0.5,0.0,1.9000000000000001,8.4,34.5,87.0,93.2,52.5,103.9
1993-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,5.0,0.39999999999999997,8.4
1994-01-01,0.2,0.9,0.3,0.0,20.0,7.5,3.5000000000000004,9.7,15.0,35.0,43.8,30.1,45.8,26.7,97.39999999999999
1994-02-01,2.9,0.0,1.3,1.0,102.0,6.1,11.9,21.9,28.700000000000003,67.89999999999999,79.10000000000001,75.3,95.4,87.6,196.1
1994-03-01,0.0,0.0,0.2,0.0,19.7,3.1,6.0,22.9,6.8,30.0,55.5,51.6,64.4,48.1,131.0
1994-04-01,0.1,3.0,5.3,2.2,22.5,5.7,3.3,21.0,35.2,57.1,78.2,123.1,162.2,112.39999999999999,330.4
1994-05-01,0.0,3.8,2.3,2.4,6.1,6.2,7.0,14.2,18.5,37.800000000000004,42.1,38.300000000000004,45.6,69.80000000000001,63.0
1994-06-01,0.5,1.4,0.7,1.1,7.8,22.1,12.100000000000001,23.0,57.1,79.5,91.4,40.5,46.0,37.300000000000004,67.0
1994-07-01,140.0,181.9,233.4,195.70000000000002,124.2,158.1,216.1,249.5,300.4,361.7,459.3,343.1,331.2,224.6,329.5
1994-08-01,202.4,321.1,123.0,185.6,35.8,36.1,48.6,86.7,98.8,247.4,299.7,198.5,245.5,155.8,338.8
1994-09-01,60.6,92.1,81.2,72.7,14.7,66.3,110.7,52.7,64.9,64.6,50.2,36.5,29.7,68.3,24.3
1994-10-01,0.2,0.4,0.2,0.7,0.7,0.6000000000000001,0.0,33.7,16.3,7.5,7.300000000000001,34.7,44.6,41.8,49.0
1994-11-01,0.0,0.0,0.4,0.5,1.0,1.6,8.100000000000001,14.8,0.3,4.3,1.4,2.1,0.8999999999999999,0.6000000000000001,7.9
1994-12-01,4.0,0.0,18.5,14.799999999999999,29.200000000000003,21.4,20.0,24.6,32.9,64.1,88.7,95.1,105.9,24.900000000000002,224.5
1995-01-01,14.0,5.4,6.7,6.7,22.5,22.6,23.1,13.700000000000001,25.5,38.7,48.2,15.999999999999998,15.5,2.1,38.8
1995-02-01,10.0,4.9,1.7000000000000002,1.7999999999999998,29.0,6.800000000000001,7.300000000000001,35.599999999999994,62.0,151.6,188.3,125.0,139.1,41.0,215.89999999999998
1995-03-01,1.3,0.7999999999999999,0.3,0.7,59.0,4.8,4.3999999999999995,44.9,48.1,87.8,111.4,147.0,174.0,122.80000000000001,224.1
1995-04-01,0.9,2.5,5.5,7.1,41.7,12.0,21.8,53.199999999999996,28.0,51.7,84.0,126.0,139.0,136.5,171.2
1995-05-01,0.0,2.8,0.0,0.0,0.5,0.6,1.6,5.6000000000000005,4.9,9.8,6.0,18.7,24.4,17.5,59.8
1995-06-01,0.7,0.0,0.4,1.7,4.5,15.0,38.699999999999996,74.6,100.3,123.2,114.1,129.7,87.2,58.3,63.4
1995-07-01,49.6,67.5,124.19999999999999,152.2,99.9,111.4,146.3,183.8,184.1,333.6,384.9,324.6,372.59999999999997,422.1,409.3
1995-08-01,5.2,0.8,22.8,12.5,4.4,58.1,115.6,286.2,314.90000000000003,363.5,329.5,209.2,213.1,273.4,208.79999999999998
1995-09-01,0.2,2.0,1.7,1.8,0.30000000000000004,1.9999999999999998,5.1,4.9,24.1,24.5,30.900000000000002,20.4,14.1,64.1,20.8
1995-10-01,1.1,3.3000000000000003,5.4,15.7,1.2,8.6,7.8999999999999995,11.9,18.7,8.3,9.3,17.3,24.0,40.1,38.4
1995-11-01,0.4,0.0,0.0,0.0,2.2,0.0,0.0,0.6,3.6,22.8,22.099999999999998,57.900000000000006,62.00000000000001,20.6,82.8
1995-12-01,0.30000000000000004,0.5,4.0,2.0,132.20000000000002,2.1,6.800000000000001,4.6000000000000005,3.2,12.0,11.100000000000001,8.4,9.2,0.7000000000000001,73.9
1996-01-01,7.9,0.7,3.5999999999999996,1.2,44.8,11.5,13.5,35.6,35.6,54.2,59.7,72.0,78.89999999999999,41.9,108.8
1996-02-01,4.5,1.1,1.0,0.5,56.2,6.7,4.300000000000001,35.5,78.3,164.1,158.6,129.4,140.3,78.8,190.3
1996-03-01,0.5,0.7999999999999999,0.2,0.2,66.6,3.6,9.8,60.8,47.6,154.7,187.7,184.1,249.5,107.7,339.8
1996-04-01,0.0,0.9,0.0,0.0,2.1,2.8000000000000003,7.0,16.6,13.0,15.0,27.4,40.4,58.2,66.5,187.5
1996-05-01,0.4,4.9,10.499999999999998,20.7,5.4,7.1,8.8,15.6,16.3,14.200000000000001,24.8,49.7,68.2,28.5,132.3
1996-06-01,9.6,14.9,19.8,21.599999999999998,35.300000000000004,85.8,45.8,78.9,114.89999999999999,164.2,188.4,185.8,143.0,152.9,160.9
1996-07-01,12.5,13.5,0.1,2.2,17.1,46.5,39.1,155.3,216.0,272.59999999999997,308.2,180.4,141.4,154.3,115.5
1996-08-01,6.4,0.1,0.6,0.8,4.5,27.099999999999998,63.8,267.7,269.1,444.0,392.4,299.7,229.0,183.0,223.2
1996-09-01,1.9,0.6000000000000001,0.7,0.4,8.4,4.6,11.9,52.9,59.9,57.9,48.2,30.1,26.3,37.1,28.3
1996-10-01,0.0,0.0,0.0,0.0,0.1,0.9,7.4,25.9,35.800000000000004,34.1,32.0,105.6,106.89999999999999,52.7,89.3
1996-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,1.5999999999999999,23.4,26.5,35.3,29.9
1996-12-01,0.7,0.2,0.0,0.0,6.800000000000001,0.2,1.0,1.6,1.8,1.4,0.2,7.3999999999999995,9.1,0.8999999999999999,42.5
1997-01-01,9.600000000000001,10.0,3.0999999999999996,3.0,45.7,4.7,7.8999999999999995,17.4,18.1,33.6,44.7,30.6,36.1,37.9,56.5
1997-02-01,0.0,0.0,0.0,0.0,19.3,1.2999999999999998,1.5,9.4,8.1,22.4,22.3,33.0,32.8,8.4,56.3
1997-03-01,18.0,4.7,22.4,23.700000000000003,114.1,16.799999999999997,19.2,30.0,32.8,57.4,79.3,114.2,151.6,89.1,291.7
1997-04-01,2.8,3.8,4.4,5.3,52.2,0.8999999999999999,7.4,45.5,80.0,99.3,114.3,146.3,160.3,220.6,122.9
1997-05-01,3.4,5.0,16.8,4.3,16.5,17.8,47.1,65.5,68.7,91.3,88.4,155.70000000000002,149.9,90.10000000000001,123.0
1997-06-01,4.5,4.2,16.6,22.6,9.7,52.6,59.7,86.2,55.4,58.9,62.900000000000006,38.2,52.5,43.7,83.7
1997-07-01,6.1000000000000005,11.100000000000001,17.6,14.9,14.1,51.699999999999996,85.8,194.1,216.3,346.7,403.1,239.0,157.4,193.1,199.6
1997-08-01,59.400000000000006,47.9,40.199999999999996,36.2,8.1,25.599999999999998,63.4,177.9,188.79999999999998,281.5,312.2,261.7,264.1,128.7,372.5
1997-09-01,6.3,44.0,0.2,0.2,0.0,5.2,6.8,29.7,44.1,72.9,73.4,71.6,50.0,61.6,46.1
1997-10-01,8.1,14.0,35.9,30.3,49.1,78.6,58.2,115.7,78.9,85.0,66.7,54.1,51.3,108.89999999999999,48.2
1997-11-01,2.3,0.5,5.8,6.0,34.8,13.899999999999999,6.300000000000001,5.2,22.099999999999998,18.099999999999998,30.400000000000002,27.6,28.5,12.5,63.5
1997-12-01,0.7,0.0,1.0999999999999999,4.1,51.9,1.7999999999999998,4.2,17.700000000000003,7.5,17.6,24.9,10.3,18.599999999999998,21.5,45.8
1998-01-01,4.8,3.4,3.5,3.3000000000000003,74.7,2.8000000000000003,3.2,3.0,4.7,15.6,15.9,37.3,57.6,37.0,148.2
1998-02-01,26.900000000000002,15.4,4.3,1.8,45.6,3.3,5.0,12.5,52.4,125.19999999999999,190.8,218.4,209.8,138.3,270.0
1998-03-01,1.6,0.2,4.6,0.7,77.4,3.9000000000000004,18.9,32.7,37.6,102.5,148.70000000000002,125.1,173.7,49.9,232.6
1998-04-01,0.0,1.1,1.5,2.7,13.1,5.0,11.6,44.4,41.2,75.3,127.8,147.3,145.3,143.7,130.9
1998-05-01,0.0,0.0,1.8,4.3,16.1,4.3,4.7,18.0,19.4,28.099999999999998,21.0,27.8,34.4,35.7,97.3
1998-06-01,1.0,1.0999999999999999,2.5,1.0,9.8,5.5,10.4,67.9,54.4,39.2,38.5,35.1,55.5,32.8,50.7
1998-07-01,38.6,9.7,24.5,25.8,13.3,18.9,33.5,113.1,311.0,510.9,417.1,216.9,163.5,204.6,195.8
1998-08-01,7.8,8.9,2.5,0.7,0.7,4.9,15.600000000000001,103.89999999999999,96.5,168.2,153.7,164.6,144.2,177.8,118.2
1998-09-01,3.3000000000000003,11.8,46.1,8.600000000000001,0.9,83.7,104.0,80.4,57.0,70.6,98.3,60.8,51.9,55.8,33.8
1998-10-01,1.2,19.4,0.0,0.9,0.0,7.0,9.4,31.6,26.400000000000002,37.4,18.5,12.2,8.200000000000001,14.399999999999999,14.5
1998-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39999999999999997,0.3,0.0,0.3,0.0,0.0,2.6
1998-12-01,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.6,0.3,0.0,0.0,0.0,0.0,0.0,0.0
1999-01-01,5.300000000000001,0.2,10.6,10.0,43.3,13.3,18.9,54.5,83.8,111.2,102.4,139.1,152.1,95.89999999999999,214.5
1999-02-01,0.0,1.8,5.4,12.2,98.5,7.5,7.3,24.1,19.1,30.3,21.7,37.3,47.9,27.8,83.0
1999-03-01,9.3,0.3,2.7,4.0,20.1,1.4,7.9,21.5,8.1,23.3,37.4,87.80000000000001,121.3,88.60000000000001,225.7
1999-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.4,4.1,4.7,13.9,15.8,24.200000000000003,124.6
1999-05-01,6.5,147.89999999999998,1.1,0.2,5.9,3.8,7.300000000000001,22.8,12.9,18.6,9.4,16.400000000000002,18.7,24.4,36.9
1999-06-01,0.1,0.3,0.0,0.0,0.0,20.2,16.5,23.6,36.6,72.3,70.0,69.8,68.8,23.5,42.800000000000004
1999-07-01,4.4,0.0,3.4000000000000004,1.4,13.8,16.9,36.4,77.7,181.0,336.7,444.8,129.6,120.7,248.5,294.1
1999-08-01,0.1,12.0,58.2,39.300000000000004,9.7,21.2,28.3,108.60000000000001,99.0,204.4,265.2,163.4,122.5,94.10000000000001,108.0
1999-09-01,2.1,1.8,0.6,0.7,3.0,5.5,6.1,26.5,45.0,61.2,97.0,112.5,95.3,104.0,43.7
1999-10-01,17.8,14.700000000000001,2.7,1.3,0.4,0.1,0.1,3.1,1.4,3.9,0.2,2.9,1.7000000000000002,3.1,2.3
1999-11-01,0.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0,4.0,44.5,32.5,93.1,82.1,44.300000000000004,113.5
1999-12-01,0.0,0.0,0.0,0.0,0.0,0.2,6.9,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1
2000-01-01,2.8000000000000003,0.0,5.2,4.9,34.5,7.0,25.700000000000003,33.800000000000004,53.8,74.5,113.2,98.6,98.3,57.6,106.3
2000-02-01,0.5,0.0,0.3,0.0,23.5,5.0,21.9,29.6,36.8,80.3,93.89999999999999,29.700000000000003,40.3,6.300000000000001,77.60000000000001
2000-03-01,0.0,0.0,0.4,0.2,8.9,0.1,0.3,3.2,5.0,19.2,27.5,27.5,41.6,51.3,101.1
2000-04-01,0.0,0.0,0.0,1.3,0.1,0.6,1.7,2.8,3.6,6.3999999999999995,6.7,5.2,6.000000000000001,3.2,23.900000000000002
2000-05-01,1.2,0.9,0.3,0.5,0.0,1.5,6.7,10.8,21.0,27.5,22.7,23.2,23.7,10.7,18.0
2000-06-01,1.6,0.0,0.3,0.0,0.8,1.3,5.6000000000000005,33.2,36.9,96.5,89.5,86.6,125.30000000000001,24.8,89.19999999999999
2000-07-01,1.2,3.9,9.1,6.2,3.6,90.1,85.8,132.8,113.5,193.6,171.2,123.89999999999999,88.2,101.3,145.8
2000-08-01,30.7,15.399999999999999,0.5,2.9,21.7,4.2,6.6,76.0,97.4,216.0,189.2,118.7,100.0,46.7,160.7
2000-09-01,0.5,0.2,0.0,0.0,10.100000000000001,0.1,3.2,44.2,43.9,65.4,53.4,56.5,53.6,137.9,53.300000000000004
2000-10-01,0.0,0.0,0.0,0.0,0.0,0.5,2.2,2.0,2.5,0.6000000000000001,0.3,0.2,10.6,20.5,3.4
2000-11-01,0.0,0.0,0.0,0.0,4.2,0.0,0.0,7.6000000000000005,3.5999999999999996,0.5,0.7,2.2,1.7000000000000002,19.4,19.700000000000003
2000-12-01,0.5,0.0,0.0,0.0,35.0,3.1,7.0,9.5,5.3,4.0,4.8999999999999995,15.000000000000002,24.3,22.9,63.0
2001-01-01,0.0,0.0,0.0,0.0,4.7,0.2,0.0,7.800000000000001,10.0,19.7,15.600000000000001,6.3,15.0,10.0,29.1
2001-02-01,0.0,0.0,0.2,0.0,29.2,0.7000000000000001,1.8,3.7,6.5,8.0,9.1,15.6,19.6,12.299999999999999,73.3
2001-03-01,0.0,0.0,0.0,0.0,12.299999999999999,0.7999999999999999,2.1999999999999997,4.6,22.2,32.9,35.6,67.3,65.3,80.1,113.9
